================================================================================
           MeasurementSet Name:  /lustre/opsw/work/alma08/2013.1.00269.S/analysis/calibrated/SgrB2_a_03_7M.calibrated.ms      MS Version 2
================================================================================
   Observer: keflavich     Project: uid://A001/X10e/X119  
Observation: ALMA

  Telescope Observation Date    Observer       Project        
  ALMA      [                   4.91091e+09, 4.91091e+09]keflavich      uid://A001/X10e/X119
  ALMA      [                   4.911e+09, 4.911e+09]keflavich      uid://A001/X10e/X119
  ALMA      [                   4.91108e+09, 4.91108e+09]keflavich      uid://A001/X10e/X119
  ALMA      [                   4.91108e+09, 4.91108e+09]keflavich      uid://A001/X10e/X119
Data records: 200928       Total elapsed time = 172719 seconds
   Observed from   01-Jul-2014/06:00:36.1   to   03-Jul-2014/05:59:14.7 (UTC)

   ObservationID = 0         ArrayID = 0
  Date        Timerange (UTC)          Scan  FldId FieldName             nRows     SpwIds   Average Interval(s)    ScanIntent
              06:52:15.3 - 06:53:15.8    17      3 J1744-3116                1320  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [CALIBRATE_PHASE#ON_SOURCE]
              06:53:40.8 - 07:00:20.3    18     44 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:53:40.8 - 07:00:20.3    18     45 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:53:40.8 - 07:00:20.3    18     46 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:53:40.8 - 07:00:20.3    18     47 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:53:40.8 - 07:00:20.3    18     48 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:53:40.8 - 07:00:20.3    18     49 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:53:40.8 - 07:00:20.3    18     50 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:53:40.8 - 07:00:20.3    18     51 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:53:40.8 - 07:00:20.3    18     52 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:53:40.8 - 07:00:20.3    18     53 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:53:40.8 - 07:00:20.3    18     54 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:53:40.8 - 07:00:20.3    18     55 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:53:40.8 - 07:00:20.3    18     56 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              07:00:39.8 - 07:01:40.4    19      3 J1744-3116                1320  [0, 1, 2, 3]  [10.1, 10.1, 10.1, 10.1] [CALIBRATE_PHASE#ON_SOURCE]

   ObservationID = 1         ArrayID = 0
  Date        Timerange (UTC)          Scan  FldId FieldName             nRows     SpwIds   Average Interval(s)    ScanIntent
  02-Jul-2014/05:47:55.1 - 05:58:00.8    20      0 J1700-2610               13200  [4,5,6,7]  [10.1, 10.1, 10.1, 10.1] [CALIBRATE_BANDPASS#ON_SOURCE]
              06:02:29.9 - 06:07:32.7    23     57 Neptune                   6600  [4,5,6,7]  [10.1, 10.1, 10.1, 10.1] [CALIBRATE_AMPLI#ON_SOURCE,CALIBRATE_FLUX#ON_SOURCE]
              06:11:12.5 - 06:12:13.1    25      3 J1744-3116                1320  [4,5,6,7]  [10.1, 10.1, 10.1, 10.1] [CALIBRATE_PHASE#ON_SOURCE]
              06:13:34.5 - 06:20:14.0    27      5 SgrB2                      660  [4,5,6,7]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:13:34.5 - 06:20:14.0    27      6 SgrB2                      660  [4,5,6,7]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:13:34.5 - 06:20:14.0    27      7 SgrB2                      660  [4,5,6,7]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:13:34.5 - 06:20:14.0    27      8 SgrB2                      660  [4,5,6,7]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:13:34.5 - 06:20:14.0    27      9 SgrB2                      660  [4,5,6,7]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
